Running with CUDA on GPU 0	
Loading data from HDF5 to Memory...	
Sorting the data into sets...	
Reshaping data in split:	test	
Reshaping data in split:	train	
Reshaping data in split:	val	
Network Archtiecture: Skip connections, data vector input method 1	
Epoch 1.19 / 50, i = 250 / 67200, loss = 3.140234	
Epoch 1.19 / 50, i = 251 / 67200, loss = 3.166107	
Epoch 1.19 / 50, i = 252 / 67200, loss = 3.159907	
Epoch 1.19 / 50, i = 253 / 67200, loss = 3.150771	
Epoch 1.19 / 50, i = 254 / 67200, loss = 3.178482	
Epoch 1.19 / 50, i = 255 / 67200, loss = 3.188743	
Epoch 1.19 / 50, i = 256 / 67200, loss = 3.142538	
Epoch 1.19 / 50, i = 257 / 67200, loss = 3.142893	
Epoch 1.19 / 50, i = 258 / 67200, loss = 3.147255	
Epoch 1.19 / 50, i = 259 / 67200, loss = 3.120436	
Epoch 1.19 / 50, i = 260 / 67200, loss = 3.147297	
Epoch 1.19 / 50, i = 261 / 67200, loss = 3.178181	
Epoch 1.19 / 50, i = 262 / 67200, loss = 3.149910	
Epoch 1.20 / 50, i = 263 / 67200, loss = 3.176147	
Epoch 1.20 / 50, i = 264 / 67200, loss = 3.159935	
Epoch 1.20 / 50, i = 265 / 67200, loss = 3.144665	
Epoch 1.20 / 50, i = 266 / 67200, loss = 3.154599	
Epoch 1.20 / 50, i = 267 / 67200, loss = 3.186758	
Epoch 1.20 / 50, i = 268 / 67200, loss = 3.142232	
Epoch 1.20 / 50, i = 269 / 67200, loss = 3.147907	
Epoch 1.20 / 50, i = 270 / 67200, loss = 3.183388	
Epoch 1.20 / 50, i = 271 / 67200, loss = 3.143324	
Epoch 1.20 / 50, i = 272 / 67200, loss = 3.141364	
Epoch 1.20 / 50, i = 273 / 67200, loss = 3.167588	
Epoch 1.20 / 50, i = 274 / 67200, loss = 3.148708	
Epoch 1.20 / 50, i = 275 / 67200, loss = 3.156986	
Epoch 1.21 / 50, i = 276 / 67200, loss = 3.159460	
Epoch 1.21 / 50, i = 277 / 67200, loss = 3.161418	
Epoch 1.21 / 50, i = 278 / 67200, loss = 3.116840	
Epoch 1.21 / 50, i = 279 / 67200, loss = 3.204822	
Epoch 1.21 / 50, i = 280 / 67200, loss = 3.180224	
Epoch 1.21 / 50, i = 281 / 67200, loss = 3.150213	
Epoch 1.21 / 50, i = 282 / 67200, loss = 3.153128	
Epoch 1.21 / 50, i = 283 / 67200, loss = 3.140072	
Epoch 1.21 / 50, i = 284 / 67200, loss = 3.152916	
Epoch 1.21 / 50, i = 285 / 67200, loss = 3.162187	
Epoch 1.21 / 50, i = 286 / 67200, loss = 3.166144	
Epoch 1.21 / 50, i = 287 / 67200, loss = 3.142781	
Epoch 1.21 / 50, i = 288 / 67200, loss = 3.169094	
Epoch 1.22 / 50, i = 289 / 67200, loss = 3.134699	
Epoch 1.22 / 50, i = 290 / 67200, loss = 3.173154	
Epoch 1.22 / 50, i = 291 / 67200, loss = 3.157821	
Epoch 1.22 / 50, i = 292 / 67200, loss = 3.134167	
Epoch 1.22 / 50, i = 293 / 67200, loss = 3.127228	
Epoch 1.22 / 50, i = 294 / 67200, loss = 3.152865	
Epoch 1.22 / 50, i = 295 / 67200, loss = 3.134424	
Epoch 1.22 / 50, i = 296 / 67200, loss = 3.140893	
Epoch 1.22 / 50, i = 297 / 67200, loss = 3.121711	
Epoch 1.22 / 50, i = 298 / 67200, loss = 3.155708	
Epoch 1.22 / 50, i = 299 / 67200, loss = 3.157498	
Epoch 1.22 / 50, i = 300 / 67200, loss = 3.156181	
Epoch 1.22 / 50, i = 301 / 67200, loss = 3.121073	
Epoch 1.22 / 50, i = 302 / 67200, loss = 3.132647	
Epoch 1.23 / 50, i = 303 / 67200, loss = 3.163869	
Epoch 1.23 / 50, i = 304 / 67200, loss = 3.172838	
Epoch 1.23 / 50, i = 305 / 67200, loss = 3.148788	
Epoch 1.23 / 50, i = 306 / 67200, loss = 3.155301	
Epoch 1.23 / 50, i = 307 / 67200, loss = 3.123653	
Epoch 1.23 / 50, i = 308 / 67200, loss = 3.167960	
Epoch 1.23 / 50, i = 309 / 67200, loss = 3.168731	
Epoch 1.23 / 50, i = 310 / 67200, loss = 3.123079	
Epoch 1.23 / 50, i = 311 / 67200, loss = 3.186189	
Epoch 1.23 / 50, i = 312 / 67200, loss = 3.153238	
Epoch 1.23 / 50, i = 313 / 67200, loss = 3.140899	
Epoch 1.23 / 50, i = 314 / 67200, loss = 3.144313	
Epoch 1.23 / 50, i = 315 / 67200, loss = 3.126802	
Epoch 1.24 / 50, i = 316 / 67200, loss = 3.134670	
Epoch 1.24 / 50, i = 317 / 67200, loss = 3.133990	
Epoch 1.24 / 50, i = 318 / 67200, loss = 3.138956	
Epoch 1.24 / 50, i = 319 / 67200, loss = 3.142804	
Epoch 1.24 / 50, i = 320 / 67200, loss = 3.139168	
Epoch 1.24 / 50, i = 321 / 67200, loss = 3.145101	
Epoch 1.24 / 50, i = 322 / 67200, loss = 3.150339	
Epoch 1.24 / 50, i = 323 / 67200, loss = 3.170380	
Epoch 1.24 / 50, i = 324 / 67200, loss = 3.126553	
Epoch 1.24 / 50, i = 325 / 67200, loss = 3.129216	
Epoch 1.24 / 50, i = 326 / 67200, loss = 3.145262	
Epoch 1.24 / 50, i = 327 / 67200, loss = 3.157169	
Epoch 1.24 / 50, i = 328 / 67200, loss = 3.116192	
Epoch 1.24 / 50, i = 329 / 67200, loss = 3.138237	
Epoch 1.25 / 50, i = 330 / 67200, loss = 3.148273	
Epoch 1.25 / 50, i = 331 / 67200, loss = 3.153926	
Epoch 1.25 / 50, i = 332 / 67200, loss = 3.164415	
Epoch 1.25 / 50, i = 333 / 67200, loss = 3.145916	
Epoch 1.25 / 50, i = 334 / 67200, loss = 3.145455	
Epoch 1.25 / 50, i = 335 / 67200, loss = 3.182060	
Epoch 1.25 / 50, i = 336 / 67200, loss = 3.143682	
Epoch 1.25 / 50, i = 337 / 67200, loss = 3.130905	
Epoch 1.25 / 50, i = 338 / 67200, loss = 3.136376	
Epoch 1.25 / 50, i = 339 / 67200, loss = 3.154990	
Epoch 1.25 / 50, i = 340 / 67200, loss = 3.151980	
Epoch 1.25 / 50, i = 341 / 67200, loss = 3.133626	
Epoch 1.25 / 50, i = 342 / 67200, loss = 3.106472	
Epoch 1.26 / 50, i = 343 / 67200, loss = 3.147827	
Epoch 1.26 / 50, i = 344 / 67200, loss = 3.166707	
Epoch 1.26 / 50, i = 345 / 67200, loss = 3.181450	
Epoch 1.26 / 50, i = 346 / 67200, loss = 3.161160	
Epoch 1.26 / 50, i = 347 / 67200, loss = 3.121968	
Epoch 1.26 / 50, i = 348 / 67200, loss = 3.158887	
Epoch 1.26 / 50, i = 349 / 67200, loss = 3.157189	
Epoch 1.26 / 50, i = 350 / 67200, loss = 3.158466	
Epoch 1.26 / 50, i = 351 / 67200, loss = 3.136094	
Epoch 1.26 / 50, i = 352 / 67200, loss = 3.140946	
Epoch 1.26 / 50, i = 353 / 67200, loss = 3.131530	
Epoch 1.26 / 50, i = 354 / 67200, loss = 3.151425	
Epoch 1.26 / 50, i = 355 / 67200, loss = 3.121229	
Epoch 1.26 / 50, i = 356 / 67200, loss = 3.147054	
Epoch 1.27 / 50, i = 357 / 67200, loss = 3.130462	
Epoch 1.27 / 50, i = 358 / 67200, loss = 3.158412	
Epoch 1.27 / 50, i = 359 / 67200, loss = 3.173916	
Epoch 1.27 / 50, i = 360 / 67200, loss = 3.145581	
Epoch 1.27 / 50, i = 361 / 67200, loss = 3.157220	
Epoch 1.27 / 50, i = 362 / 67200, loss = 3.143679	
Epoch 1.27 / 50, i = 363 / 67200, loss = 3.148049	
Epoch 1.27 / 50, i = 364 / 67200, loss = 3.182836	
Epoch 1.27 / 50, i = 365 / 67200, loss = 3.143613	
Epoch 1.27 / 50, i = 366 / 67200, loss = 3.162231	
Epoch 1.27 / 50, i = 367 / 67200, loss = 3.149459	
Epoch 1.27 / 50, i = 368 / 67200, loss = 3.149501	
Epoch 1.27 / 50, i = 369 / 67200, loss = 3.153060	
Epoch 1.28 / 50, i = 370 / 67200, loss = 3.134497	
Epoch 1.28 / 50, i = 371 / 67200, loss = 3.132845	
Epoch 1.28 / 50, i = 372 / 67200, loss = 3.122909	
Epoch 1.28 / 50, i = 373 / 67200, loss = 3.118179	
Epoch 1.28 / 50, i = 374 / 67200, loss = 3.139049	
Epoch 1.28 / 50, i = 375 / 67200, loss = 3.163572	
