Running with CUDA on GPU 0	
Loading data from HDF5 to Memory...	
Sorting the data into sets...	
Loading files...	
Loading x_splits	
Loading y_splits	
Loading split_sizes	
Finished loading Torch objects from file	
Network Archtiecture: Skip connections, data vector input method 1	
Epoch 1.10 / 50, i = 138 / 67200, loss = 3.225274	
Epoch 1.10 / 50, i = 139 / 67200, loss = 3.210316	
Epoch 1.10 / 50, i = 140 / 67200, loss = 3.209145	
Epoch 1.10 / 50, i = 141 / 67200, loss = 3.213500	
Epoch 1.11 / 50, i = 142 / 67200, loss = 3.217079	
Epoch 1.11 / 50, i = 143 / 67200, loss = 3.203849	
Epoch 1.11 / 50, i = 144 / 67200, loss = 3.211850	
Epoch 1.11 / 50, i = 145 / 67200, loss = 3.209498	
Epoch 1.11 / 50, i = 146 / 67200, loss = 3.202166	
Epoch 1.11 / 50, i = 147 / 67200, loss = 3.197833	
Epoch 1.11 / 50, i = 148 / 67200, loss = 3.196618	
Epoch 1.11 / 50, i = 149 / 67200, loss = 3.202826	
Epoch 1.11 / 50, i = 150 / 67200, loss = 3.185644	
Epoch 1.11 / 50, i = 151 / 67200, loss = 3.201652	
Epoch 1.11 / 50, i = 152 / 67200, loss = 3.214046	
Epoch 1.11 / 50, i = 153 / 67200, loss = 3.208434	
Epoch 1.11 / 50, i = 154 / 67200, loss = 3.207094	
Epoch 1.12 / 50, i = 155 / 67200, loss = 3.202592	
Epoch 1.12 / 50, i = 156 / 67200, loss = 3.216446	
Epoch 1.12 / 50, i = 157 / 67200, loss = 3.201329	
Epoch 1.12 / 50, i = 158 / 67200, loss = 3.216283	
Epoch 1.12 / 50, i = 159 / 67200, loss = 3.195094	
Epoch 1.12 / 50, i = 160 / 67200, loss = 3.196450	
Epoch 1.12 / 50, i = 161 / 67200, loss = 3.199428	
Epoch 1.12 / 50, i = 162 / 67200, loss = 3.212574	
Epoch 1.12 / 50, i = 163 / 67200, loss = 3.220980	
Epoch 1.12 / 50, i = 164 / 67200, loss = 3.198176	
